Symbol,Sector
BDCS,Financials
EMTY,Consumer Staples
PSCI,Industrials
KURE,Healthcare
AMUB,Energy
PYZ,Materials
RDOG,Real Estate
GOEX,Materials
AIRR,Industrials
SKF,Financials
CNCR,Healthcare
FTXL,Technology
JHMT,Technology
PSCU,Utilities
FILL,Energy
FXN,Energy
JHMC,Consumer Discretionary
GRID,Energy
UTES,Utilities
BBC,Healthcare
ZMLP,Energy
KNAB,Financials
JHMU,Utilities
EMCG,Consumer Staples
IETC,Technology
EVX,Industrials
JHMF,Financials
IEZ,Energy
PBS,Consumer Discretionary
KCE,Financials
ERY,Energy
RFEU,Industrials
JHMS,Consumer Staples
BNKZ,Financials
GRES,Materials
MJJ,Healthcare
ONLN,Consumer Discretionary
PRNT,Technology
SRS,Real Estate
IDNA,Healthcare
ENFR,Energy
QTUM,Technology
DUG,Energy
PHDG,Financials
DRN,Real Estate
BDCL,Financials
BBP,Healthcare
LNGR,Healthcare
BJK,Consumer Discretionary
TDV,Technology
SEF,Financials
DRV,Real Estate
EWRE,Real Estate
JHMI,Industrials
GDAT,Technology
OLD,Real Estate
KEMQ,Technology
IFEU,Real Estate
UYM,Materials
CNRG,Energy
VEGI,Materials
BNKD,Financials
INFR,Utilities
EINC,Energy
UPW,Utilities
BIS,Healthcare
KOL,Energy
BFIT,Consumer Discretionary
GDNA,Healthcare
FITE,Industrials
GNOM,Healthcare
NLR,Energy
DPST,Financials
IHAK,Technology
DRIP,Energy
IZRL,Technology
UBIO,Healthcare
JHMA,Materials
MLPY,Energy
PEZ,Consumer Discretionary
UCC,Consumer Discretionary
BMLP,Energy
ZIG,Financials
TBLU,Industrials
CARZ,Consumer Discretionary
REML,Real Estate
PEX,Financials
EMIF,Utilities
MLPO,Energy
PSCD,Consumer Discretionary
GASL,Energy
REK,Real Estate
BDRY,Industrials
PXI,Energy
CHIR,Real Estate
BNKO,Financials
HOMZ,Real Estate
IEHS,Healthcare
XWEB,Technology
CHNA,Healthcare
UTSL,Utilities
UXI,Industrials
LBDC,Financials
VQT,Financials
CRAK,Energy
JHME,Energy
IEDI,Consumer Discretionary
PXE,Energy
NERD,Consumer Discretionary
HTEC,Healthcare
LOUP,Technology
IMLP,Energy
PYPE,Energy
NRGO,Energy
FINU,Financials
ACT,Consumer Staples
POTX,Healthcare
TPAY,Technology
PSCM,Materials
PSCE,Energy
CHIK,Technology
MLPE,Energy
KOIN,Technology
IECS,Consumer Staples
REW,Technology
SOIL,Materials
CROP,Materials
LMLB,Energy
SSG,Technology
SIMS,Materials
SMN,Materials
MJO,Healthcare
CHIH,Healthcare
FTXN,Energy
EBIZ,Consumer Discretionary
IEME,Consumer Discretionary
BNKU,Financials
USAI,Energy
PILL,Healthcare
FRAK,Energy
BDCY,Financials
WDRW,Financials
FTXH,Healthcare
DDG,Energy
TPOR,Industrials
FLM,Materials
BUG,Technology
IFRA,Utilities
FTRI,Materials
IEIH,Healthcare
UGE,Consumer Staples
ROKT,Industrials
PASS,Consumer Discretionary
FINZ,Financials
HAIL,Industrials
PXJ,Energy
CHIS,Consumer Staples
SCID,Technology
CNBS,Healthcare
FTXD,Consumer Discretionary
SIJ,Industrials
IEFN,Financials
NEED,Consumer Staples
RETL,Consumer Discretionary
BATT,Materials
WANT,Consumer Discretionary
EUFL,Financials
RORE,Real Estate
SCC,Consumer Discretionary
URNM,Energy
RXD,Healthcare
SDP,Utilities
FTXG,Consumer Staples
ZBIO,Healthcare
TAWK,Telecom
ARMR,Technology
XTH,Technology
SBM,Materials
SZK,Consumer Staples
FTAG,Materials
HELX,Healthcare
BUYZ,Consumer Discretionary
GLIF,Utilities
NRGU,Energy
DIET,Materials
ECLN,Utilities
CHII,Industrials
XBUY,Consumer Discretionary
CHIE,Energy
MLPG,Energy
FTXR,Industrials
DUSL,Industrials
AWAY,Industrials
CHIM,Materials
CHIU,Utilities
KMED,Healthcare
LACK,Consumer Staples
RTL,Real Estate
LTL,Telecom
LEND,Financials
LRNZ,Technology
LRET,Real Estate
BUYN,Materials
